10838570,"6403 170 AVENUE NW",125000
10831593,"1745 DUMONT CRESCENT SW",129500
10797392,"319-7508 GETTY GATE NW",203500
10838665,"22123 87 AVENUE NW",161000
10838513,"20408 128 AVENUE NW",167000
10797386,"313-7508 GETTY GATE NW",204500
10838643,"8707 221 STREET NW",127000
10831515,"1813 DUMONT CRESCENT SW",112000
10797351,"121-7508 GETTY GATE NW",151500
10831505,"1764 DUMONT CRESCENT SW",112000
10838611,"8011 223 STREET NW",108500
10838571,"6405 170 AVENUE NW",115000
10838634,"22411 80 AVENUE NW",117500
10797413,"418-7508 GETTY GATE NW",209000
10797390,"317-7508 GETTY GATE NW",203500
10831504,"1766 DUMONT CRESCENT SW",106500
10797352,"201-7508 GETTY GATE NW",206500
10797396,"401-7508 GETTY GATE NW",213000
10838618,"22307 80 AVENUE NW",112500
10831548,"1747 DUMONT CRESCENT SW",114000
10797404,"409-7508 GETTY GATE NW",254000
10826732,"407 ALLARD BOULEVARD SW",111000
10831574,"1228 DANIELS CRESCENT SW",148000
10797398,"403-7508 GETTY GATE NW",209500
10838592,"22320 80 AVENUE NW",121000
10838651,"8619 221 STREET NW",144000
10838554,"16826 65 STREET NW",145500
10831556,"1251 DANIELS CRESCENT SW",141500
10782122,"2-5910 121 AVENUE NW",283000
10838662,"22111 87 AVENUE NW",137000
10831538,"1767 DUMONT CRESCENT SW",129500
2326403,"12925 114 STREET NW",252000
10826724,"391 ALLARD BOULEVARD SW",106500
10831522,"1799 DUMONT CRESCENT SW",105000
10797350,"120-7508 GETTY GATE NW",197000
10838600,"22416 80 AVENUE NW",121000
10838586,"8024 223 STREET NW",129500
10838677,"22144 87 AVENUE NW",139000
10797364,"213-7508 GETTY GATE NW",201000
10797354,"203-7508 GETTY GATE NW",201500
10729737,"11910 41 AVENUE SW",1269500
10838667,"22104 87 AVENUE NW",143000
10838654,"8607 221 STREET NW",144000
10797365,"214-7508 GETTY GATE NW",199500
10797417,"422-7508 GETTY GATE NW",165500
10831604,"1232 DANIELS CRESCENT SW",137500
10797383,"310-7508 GETTY GATE NW",220500
10838552,"16822 65 STREET NW",111000
9971294,"19007 49 AVENUE NW",27000
10838506,"20379 128 AVENUE NW",164000
1150986,"1810 YELLOWHEAD TRAIL NW",81500
10831497,"1780 DUMONT CRESCENT SW",106000
10838551,"16820 65 STREET NW",111500
10826695,"402 ALLARD BOULEVARD SW",102500
10797373,"222-7508 GETTY GATE NW",160000
10831530,"1783 DUMONT CRESCENT SW",129500
10838589,"8012 223 STREET NW",120000
10797362,"211-7508 GETTY GATE NW",158500
10831555,"1253 DANIELS CRESCENT SW",142000
10838508,"20371 128 AVENUE NW",169000
10838594,"22328 80 AVENUE NW",121000
10797336,"106-7508 GETTY GATE NW",152000
10797372,"221-7508 GETTY GATE NW",207500
1072438,"4503 17 STREET NW",7467500
